MODEL,PARAMETERS,PRECISION,RECALL,AUC,F1,ACCURACY,Time
GB,"{'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0, 'n_estimators': 1}",0.866666666667,0.970149253731,0.485074626866,0.915492957746,0.844155844156,0.004090547561645508
GB,"{'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.1, 'n_estimators': 10}",0.859649122807,0.731343283582,0.465671641791,0.790322580645,0.662337662338,0.007797956466674805
GB,"{'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.5, 'n_estimators': 10}",0.847457627119,0.746268656716,0.423134328358,0.793650793651,0.662337662338,0.015494585037231445
GB,"{'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0, 'n_estimators': 10}",0.866666666667,0.970149253731,0.485074626866,0.915492957746,0.844155844156,0.020509004592895508
GB,"{'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.1, 'n_estimators': 100}",0.85,0.507462686567,0.453731343284,0.635514018692,0.493506493506,0.0578765869140625
GB,"{'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.5, 'n_estimators': 100}",0.875,0.626865671642,0.513432835821,0.730434782609,0.597402597403,0.13335609436035156
GB,"{'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0, 'n_estimators': 100}",0.846153846154,0.820895522388,0.410447761194,0.833333333333,0.714285714286,0.18427729606628418
GB,"{'max_depth': 10, 'learning_rate': 0.01, 'subsample': 0.1, 'n_estimators': 1}",0.87323943662,0.925373134328,0.512686567164,0.898550724638,0.818181818182,0.0027992725372314453
GB,"{'max_depth': 10, 'learning_rate': 0.01, 'subsample': 0.5, 'n_estimators': 1}",0.864864864865,0.955223880597,0.477611940299,0.90780141844,0.831168831169,0.004471778869628906
GB,"{'max_depth': 10, 'learning_rate': 0.01, 'subsample': 1.0, 'n_estimators': 1}",0.864864864865,0.955223880597,0.477611940299,0.90780141844,0.831168831169,0.005692481994628906
GB,"{'max_depth': 10, 'learning_rate': 0.01, 'subsample': 0.1, 'n_estimators': 10}",0.866666666667,0.582089552239,0.491044776119,0.696428571429,0.558441558442,0.009323358535766602
GB,"{'max_depth': 10, 'learning_rate': 0.01, 'subsample': 0.5, 'n_estimators': 10}",0.857142857143,0.716417910448,0.458208955224,0.780487804878,0.649350649351,0.024493694305419922
GB,"{'max_depth': 10, 'learning_rate': 0.01, 'subsample': 1.0, 'n_estimators': 10}",0.859154929577,0.910447761194,0.455223880597,0.884057971014,0.792207792208,0.03694772720336914
GB,"{'max_depth': 10, 'learning_rate': 0.01, 'subsample': 0.1, 'n_estimators': 100}",0.85,0.507462686567,0.453731343284,0.635514018692,0.493506493506,0.07912635803222656
GB,"{'max_depth': 10, 'learning_rate': 0.01, 'subsample': 0.5, 'n_estimators': 100}",0.875,0.626865671642,0.513432835821,0.730434782609,0.597402597403,0.22290778160095215
